dataset	approach	med	avg	stdev min	max
friendster	baseline	66056.44	72684.60	16391.31	54459.00	92891.77
friendster	reuse level	118742.89	118773.26	667.13	117953.46	119586.15
friendster	sort	54892.10	53577.01	2907.00	49220.80	55201.89
friendster	inline sort	39738.94	41939.05	4113.76	38247.90	47618.78
friendster	radix sort	30852.09	36352.01	7403.04	29090.21	42755.96
friendster	lift level	28408.64	32566.40	5441.91	27416.99	38149.54
friendster	ordering	26649.19	32011.35	6584.18	25986.19	37990.87
friendster	fused	33350.19	36731.43	5937.43	30097.78	42032.09
friendster	fused if	31864.88	32945.22	1676.01	31298.16	34952.22
friendster	cuckoo	623705.70	623705.70	NaN	623705.70	623705.70
friendster	unroll 4	36492.91	34576.35	6355.53	25152.22	38834.61
friendster	unroll 8	28148.58	30747.41	3851.79	27272.57	35686.30
friendster	unroll 8 4	30066.80	31219.65	2445.16	28478.57	34036.23
friendster	parallel	383668.43	383668.43	NaN	383668.43	383668.43
friendster	frontier 4x	13759.30	17940.02	5091.50	13412.63	23263.36
friendster	frontier 48x	5330.17	8018.78	3931.12	5244.15	13623.59
friendster	almost 4x	11294.02	13924.79	3534.17	10868.55	18355.51
friendster	almost 48x	4980.14	7047.31	3915.05	4969.68	12914.66
friendster	marking 4x	10938.06	15639.17	5718.47	10581.83	21704.10
friendster	marking 48x	7835.65	13059.36	10099.10	5368.70	27767.35
friendster	early2 4x	13811.64	15993.55	4764.34	11748.36	22718.55
friendster	early2 48x	3630.76	3967.10	571.81	3612.02	4814.14
friendster	early3 4x	12380.37	15311.89	4042.85	11301.55	19145.16
friendster	early3 48x	3628.39	4880.60	2484.70	3614.34	8607.46
friendster	early4 4x	11927.32	14203.25	4609.51	11587.60	21107.60
friendster	early4 48x	4058.13	5903.28	3665.41	4045.59	11401.24
friendster	earlyR 4x	11201.27	14154.06	5629.92	11017.29	22583.47
friendster	earlyR 48x	5132.86	5848.91	1717.90	4324.60	8293.41
friendster	worker 4x	13968.84	14492.01	2754.84	10810.19	16814.71
friendster	worker 48x	6349.94	6430.52	2215.94	3632.97	9043.58
friendster	busy 4x	14281.88	16907.97	5133.08	11144.47	22470.01
friendster	busy 48x	7564.58	7592.57	2958.59	3631.64	10730.31
