dataset	approach	med	avg	stdev min	max
friendster	baseline	48438.12	50974.16	5141.85	48135.96	58680.63
friendster	reuse level	111104.31	112062.02	2747.54	108760.23	115128.85
friendster	sort	50134.13	51561.39	4298.30	46128.68	55406.69
friendster	inline sort	44762.82	42564.77	6071.12	33500.97	46103.25
friendster	radix sort	32959.94	34476.40	2165.81	32283.81	36538.90
friendster	lift level	30838.93	31457.74	3238.32	27659.33	35522.88
friendster	ordering	27762.31	31311.70	5245.93	25946.44	36617.45
friendster	fused	28084.12	34262.61	7468.82	27530.32	41222.19
friendster	fused if	26352.97	31554.39	6818.55	25060.40	38366.43
friendster	cuckoo	597774.09	597774.09	NaN	597774.09	597774.09
friendster	unroll 4	29564.24	31405.14	5039.33	25901.10	37863.93
friendster	unroll 8	23971.01	29993.20	7254.38	23590.02	37512.79
friendster	unroll 8 4	26516.34	31044.48	6464.37	24529.69	37415.86
friendster	parallel	390401.24	390401.24	NaN	390401.24	390401.24
friendster	frontier 4x	15847.08	18416.70	4221.73	14062.60	23281.93
friendster	frontier 48x	5348.08	7824.89	4511.51	5285.74	14569.57
friendster	almost 4x	14344.07	18008.26	5756.84	11857.95	22982.05
friendster	almost 48x	5220.54	9256.83	5337.51	4339.75	15301.37
friendster	marking 4x	14264.15	15016.56	2431.74	11915.68	17202.66
friendster	marking 48x	4093.50	10264.42	8263.47	3764.12	21303.26
friendster	early2 4x	12544.99	14714.37	4168.67	11597.62	20802.83
friendster	early2 48x	4313.70	6391.07	4049.30	4305.95	12463.81
friendster	early3 4x	12477.08	14833.97	4070.13	11905.49	20762.94
friendster	early3 48x	4503.99	13027.83	16960.92	3873.29	38454.58
friendster	early4 4x	13819.66	15843.93	3337.68	12279.00	19343.62
friendster	early4 48x	3785.68	5004.56	2052.14	3778.76	8051.37
friendster	earlyR 4x	13070.19	15094.39	4316.65	11395.31	21253.15
friendster	earlyR 48x	6657.79	9676.80	6143.26	4309.19	18349.26
friendster	worker 4x	16936.37	17207.57	4316.08	11759.95	22278.65
friendster	worker 48x	7879.95	10213.65	7291.77	4189.89	20828.78
friendster	busy 4x	14524.43	15526.01	2856.74	11931.74	17825.14
friendster	busy 48x	8454.80	9230.34	3914.97	4001.90	12329.89
