dataset	approach	med	avg	stdev	min	max
sg-10k-250k	baseline	2.27	2.50	0.55	2.11	4.60
sg-10k-250k	reuse level	1.94	2.23	0.61	1.75	4.29
sg-10k-250k	sort	3.21	3.31	0.39	3.02	4.85
sg-10k-250k	inline sort	2.42	2.58	0.47	2.29	4.40
sg-10k-250k	radix sort	2.06	2.22	0.45	1.94	4.48
sg-10k-250k	lift level	2.12	2.28	0.45	1.99	3.96
sg-10k-250k	ordering	2.07	2.19	0.41	1.89	4.17
sg-10k-250k	fused	2.31	2.51	0.37	2.17	3.54
sg-10k-250k	fused if	2.30	2.48	0.48	2.07	4.31
sg-10k-250k	cuckoo	57.05	57.05	NaN	57.05	57.05
sg-10k-250k	unroll 4	2.16	2.39	0.47	1.96	3.88
sg-10k-250k	unroll 8	2.07	2.31	0.58	1.89	4.42
sg-10k-250k	unroll 8 4	1.95	2.15	0.52	1.83	4.11
sg-10k-250k	parallel	81.91	81.91	NaN	81.91	81.91
sg-10k-250k	frontier 4x	2.37	2.47	0.32	2.08	3.53
sg-10k-250k	frontier 4x	2.42	2.58	0.46	2.22	4.42
sg-10k-250k	almost 4x	3.04	3.22	0.51	2.67	5.14
sg-10k-250k	almost 4x	3.18	3.44	0.72	2.73	6.10
sg-10k-250k	marking 4x	3.22	3.48	0.67	2.81	5.94
sg-10k-250k	marking 4x	3.30	3.51	0.64	2.86	5.73
sg-10k-250k	early2 4x	3.12	3.30	0.57	2.69	5.16
sg-10k-250k	early2 4x	3.14	3.34	0.64	2.73	5.65
sg-10k-250k	early3 4x	3.10	3.37	0.64	2.82	5.84
sg-10k-250k	early3 4x	3.18	3.38	0.68	2.74	6.30
sg-10k-250k	early4 4x	3.30	3.60	0.78	2.80	6.19
sg-10k-250k	early4 4x	3.18	3.60	1.32	2.69	10.46
sg-10k-250k	earlyR 4x	3.26	3.53	0.83	2.64	6.40
sg-10k-250k	earlyR 4x	3.25	3.55	0.95	2.74	8.01
sg-10k-250k	worker 4x	3.35	3.69	0.93	2.98	7.43
sg-10k-250k	worker 4x	4.18	4.66	1.43	3.27	10.30
sg-10k-250k	busy 4x	4.13	7.14	11.69	3.23	78.24
sg-10k-250k	busy 4x	3.77	4.43	1.87	3.21	11.53
sg-5m-100m	baseline	1966.48	2012.61	183.37	1930.31	3139.00
sg-5m-100m	reuse level	3594.83	3627.56	77.74	3510.09	3860.04
sg-5m-100m	sort	1822.99	1839.46	81.24	1795.03	2368.41
sg-5m-100m	inline sort	1325.87	1328.26	17.73	1297.68	1376.18
sg-5m-100m	radix sort	964.44	966.77	14.57	946.20	1029.35
sg-5m-100m	lift level	934.59	936.92	14.36	910.43	986.49
sg-5m-100m	ordering	942.45	944.32	23.13	917.72	1026.27
sg-5m-100m	fused	1044.57	1049.23	16.00	1018.00	1095.65
sg-5m-100m	fused if	981.67	983.48	19.24	953.67	1065.77
sg-5m-100m	cuckoo	43654.09	43654.09	NaN	43654.09	43654.09
sg-5m-100m	unroll 4	855.97	858.89	13.68	838.69	894.49
sg-5m-100m	unroll 8	845.40	851.45	17.63	828.57	903.98
sg-5m-100m	unroll 8 4	856.72	886.46	139.23	840.09	1675.60
sg-5m-100m	parallel	38331.87	38331.87	NaN	38331.87	38331.87
sg-5m-100m	frontier 4x	557.50	581.94	65.93	536.93	777.55
sg-5m-100m	frontier 4x	556.46	566.70	43.81	530.48	784.88
sg-5m-100m	almost 4x	653.28	700.02	100.00	621.96	941.30
sg-5m-100m	almost 4x	652.93	679.28	73.62	624.37	931.68
sg-5m-100m	marking 4x	647.34	674.06	70.24	612.51	894.57
sg-5m-100m	marking 4x	649.10	664.83	66.89	610.25	948.04
sg-5m-100m	early2 4x	660.41	686.26	82.95	614.35	937.01
sg-5m-100m	early2 4x	650.56	678.35	73.10	626.00	967.78
sg-5m-100m	early3 4x	652.10	676.37	67.17	621.22	954.75
sg-5m-100m	early3 4x	664.82	676.11	51.47	622.41	933.84
sg-5m-100m	early4 4x	646.63	660.98	57.58	605.93	955.51
sg-5m-100m	early4 4x	645.25	658.95	53.98	613.73	924.16
sg-5m-100m	earlyR 4x	648.80	674.16	79.05	601.88	936.59
sg-5m-100m	earlyR 4x	643.22	659.43	50.54	622.43	915.88
sg-5m-100m	worker 4x	649.91	709.82	228.96	620.06	2153.89
sg-5m-100m	worker 4x	644.30	725.28	320.76	606.40	2610.59
sg-5m-100m	busy 4x	645.79	647.67	18.76	603.83	693.02
sg-5m-100m	busy 4x	647.65	665.70	64.41	599.43	928.16
