dataset	approach	med	avg	stdev	min	max
sg-10k-250k	baseline	2.29	2.54	0.57	2.13	4.44
sg-10k-250k	reuse level	2.06	2.28	0.57	1.85	4.35
sg-10k-250k	sort	3.41	3.53	0.44	3.20	5.55
sg-10k-250k	inline sort	2.55	2.71	0.34	2.45	4.14
sg-10k-250k	radix sort	2.12	2.27	0.42	2.00	3.90
sg-10k-250k	lift level	2.08	2.21	0.38	1.97	3.79
sg-10k-250k	ordering	2.06	2.16	0.38	1.94	3.83
sg-10k-250k	fused	2.24	2.35	0.36	2.09	3.98
sg-10k-250k	fused if	2.25	2.37	0.38	2.12	4.03
sg-10k-250k	cuckoo	53.64	53.64	NaN	53.64	53.64
sg-10k-250k	unroll 4	2.11	2.24	0.41	1.97	4.06
sg-10k-250k	unroll 8	2.10	2.22	0.32	2.02	3.57
sg-10k-250k	unroll 8 4	2.13	2.25	0.36	2.03	3.87
sg-10k-250k	parallel	84.05	84.05	NaN	84.05	84.05
sg-10k-250k	frontier 4x	2.53	2.64	0.43	2.28	4.61
sg-10k-250k	frontier 4x	2.58	2.73	0.45	2.30	4.75
sg-10k-250k	almost 4x	3.35	3.54	0.52	3.00	5.30
sg-10k-250k	almost 4x	3.44	3.59	0.58	3.04	6.10
sg-10k-250k	marking 4x	3.35	3.66	0.71	2.96	5.60
sg-10k-250k	marking 4x	3.43	3.69	0.72	3.12	6.98
sg-10k-250k	early2 4x	3.45	3.74	0.77	3.13	6.47
sg-10k-250k	early2 4x	3.53	3.86	1.02	3.00	9.20
sg-10k-250k	early3 4x	3.35	3.74	0.81	3.02	7.01
sg-10k-250k	early3 4x	3.62	3.84	0.73	3.11	6.27
sg-10k-250k	early4 4x	3.50	3.81	0.80	2.87	6.21
sg-10k-250k	early4 4x	3.37	3.62	0.77	2.92	6.28
sg-10k-250k	earlyR 4x	3.32	3.72	1.08	2.91	8.16
sg-10k-250k	earlyR 4x	3.52	3.80	0.89	2.83	7.58
sg-10k-250k	worker 4x	3.72	3.97	0.93	3.03	7.56
sg-10k-250k	worker 4x	3.41	3.61	0.70	2.91	5.77
sg-10k-250k	busy 4x	3.35	3.64	0.80	2.85	6.82
sg-10k-250k	busy 4x	3.36	3.58	0.71	2.88	6.13
sg-5m-100m	baseline	1942.58	2107.67	570.57	1923.05	5033.87
sg-5m-100m	reuse level	3826.75	3876.82	90.81	3787.75	4167.88
sg-5m-100m	sort	1973.22	2000.54	75.11	1952.04	2301.81
sg-5m-100m	inline sort	1373.87	1374.72	13.13	1340.72	1412.07
sg-5m-100m	radix sort	977.88	978.03	15.27	954.01	1025.61
sg-5m-100m	lift level	940.96	945.33	16.41	922.40	1017.12
sg-5m-100m	ordering	957.60	958.79	18.43	928.02	1034.52
sg-5m-100m	fused	1037.03	1039.75	18.00	1015.85	1124.79
sg-5m-100m	fused if	981.70	985.00	14.24	964.32	1018.21
sg-5m-100m	cuckoo	42922.37	42922.37	NaN	42922.37	42922.37
sg-5m-100m	unroll 4	919.71	924.90	15.45	899.98	973.39
sg-5m-100m	unroll 8	910.97	912.88	13.13	892.17	957.60
sg-5m-100m	unroll 8 4	920.66	925.81	19.49	903.16	996.37
sg-5m-100m	parallel	37960.34	37960.34	NaN	37960.34	37960.34
sg-5m-100m	frontier 4x	604.32	613.50	38.08	577.85	829.07
sg-5m-100m	frontier 4x	606.91	640.49	75.65	584.13	854.87
sg-5m-100m	almost 4x	718.58	743.78	92.43	666.47	1061.34
sg-5m-100m	almost 4x	705.13	728.30	71.78	639.00	1016.37
sg-5m-100m	marking 4x	689.42	722.02	98.15	651.36	1117.22
sg-5m-100m	marking 4x	691.19	695.93	20.38	639.11	750.92
sg-5m-100m	early2 4x	690.43	722.76	92.30	653.33	1150.09
sg-5m-100m	early2 4x	692.50	714.50	89.02	661.01	1281.71
sg-5m-100m	early3 4x	695.23	716.28	74.65	661.64	1021.08
sg-5m-100m	early3 4x	703.60	734.62	84.60	672.21	1023.76
sg-5m-100m	early4 4x	690.95	704.77	49.97	657.17	956.26
sg-5m-100m	early4 4x	689.35	706.36	63.39	646.41	1001.34
sg-5m-100m	earlyR 4x	678.86	706.60	91.47	639.81	1106.42
sg-5m-100m	earlyR 4x	700.85	718.66	67.59	649.10	1016.22
sg-5m-100m	worker 4x	690.06	722.15	85.17	644.87	1009.40
sg-5m-100m	worker 4x	686.19	705.76	66.74	662.98	1032.80
sg-5m-100m	busy 4x	705.72	724.75	73.02	655.67	999.47
sg-5m-100m	busy 4x	687.81	750.30	203.49	655.42	1946.54
