dataset	approach	med	avg	stdev	min	max
sg-10k-250k	baseline	2.66	2.66	0.08	2.51	2.98
sg-10k-250k	reuse level	2.10	2.12	0.07	2.03	2.41
sg-10k-250k	sort	3.65	3.72	0.25	3.38	4.70
sg-10k-250k	inline sort	2.86	2.87	0.09	2.62	3.05
sg-10k-250k	radix sort	2.51	2.51	0.10	2.34	2.73
sg-10k-250k	lift level	2.51	2.51	0.09	2.22	2.70
sg-10k-250k	ordering	2.55	2.55	0.08	2.35	2.75
sg-10k-250k	fused	2.83	2.84	0.11	2.62	3.32
sg-10k-250k	fused if	2.87	2.88	0.10	2.66	3.14
sg-10k-250k	cuckoo	58.35	58.35	NaN	58.35	58.35
sg-10k-250k	unroll 4	2.47	2.45	0.11	2.24	2.66
sg-10k-250k	unroll 8	2.38	2.40	0.12	2.19	2.82
sg-10k-250k	unroll 8 4	2.47	2.49	0.14	2.24	3.01
sg-10k-250k	parallel	83.54	83.54	NaN	83.54	83.54
sg-10k-250k	frontier 4x	3.11	3.17	0.27	2.48	3.96
sg-10k-250k	frontier 8x	4.37	4.36	0.31	3.45	5.01
sg-10k-250k	almost 4x	4.74	4.87	0.52	4.21	7.30
sg-10k-250k	almost 8x	7.02	7.07	0.49	6.08	8.06
sg-10k-250k	marking 4x	4.63	4.62	0.31	4.00	5.63
sg-10k-250k	marking 8x	6.62	6.74	0.46	6.06	8.71
sg-10k-250k	early2 4x	4.38	4.44	0.43	3.61	5.70
sg-10k-250k	early2 8x	6.44	6.44	0.37	5.67	7.28
sg-10k-250k	early3 4x	4.25	4.35	0.37	3.53	5.63
sg-10k-250k	early3 8x	6.31	6.45	0.55	5.67	7.90
sg-10k-250k	early4 4x	4.25	4.36	0.36	3.54	5.48
sg-10k-250k	early4 8x	6.38	6.46	0.44	5.66	7.37
sg-10k-250k	earlyR 4x	4.24	4.24	0.30	3.73	5.31
sg-10k-250k	earlyR 8x	6.30	6.36	0.42	5.57	7.35
sg-10k-250k	worker 4x	4.51	4.57	0.36	3.80	5.39
sg-10k-250k	worker 8x	6.89	6.99	0.39	6.25	7.92
sg-10k-250k	busy 4x	4.44	4.45	0.32	3.65	5.25
sg-10k-250k	busy 8x	6.96	7.14	0.56	6.38	9.74
sg-5m-100m	baseline	2326.92	2336.96	68.86	2236.46	2663.45
sg-5m-100m	reuse level	5992.09	5720.10	410.22	5187.24	6234.28
sg-5m-100m	sort	2173.41	2153.84	45.16	2062.96	2209.40
sg-5m-100m	inline sort	1609.74	1610.39	12.94	1583.70	1645.99
sg-5m-100m	radix sort	1283.12	1284.18	14.59	1259.18	1341.81
sg-5m-100m	lift level	1227.90	1233.71	25.54	1215.77	1363.26
sg-5m-100m	ordering	1228.75	1244.91	103.10	1219.74	1956.99
sg-5m-100m	fused	1401.10	1405.52	17.38	1383.37	1504.68
sg-5m-100m	fused if	1310.73	1311.40	8.73	1293.34	1334.43
sg-5m-100m	cuckoo	48735.95	48735.95	NaN	48735.95	48735.95
sg-5m-100m	unroll 4	1136.43	1137.57	7.29	1121.88	1156.27
sg-5m-100m	unroll 8	1191.13	1191.18	7.53	1178.71	1210.84
sg-5m-100m	unroll 8 4	1211.51	1212.08	8.34	1198.24	1228.07
sg-5m-100m	parallel	38329.41	38329.41	NaN	38329.41	38329.41
sg-5m-100m	frontier 4x	704.30	705.48	13.11	683.10	741.57
sg-5m-100m	frontier 8x	624.53	640.57	67.05	597.11	981.99
sg-5m-100m	almost 4x	777.50	773.54	67.10	667.20	1152.95
sg-5m-100m	almost 8x	609.03	622.48	40.47	596.67	847.27
sg-5m-100m	marking 4x	661.77	677.74	61.08	633.74	1029.16
sg-5m-100m	marking 8x	589.40	619.42	108.95	571.76	1263.18
sg-5m-100m	early2 4x	647.17	665.87	75.47	606.34	1123.71
sg-5m-100m	early2 8x	584.02	618.19	101.97	566.98	1211.43
sg-5m-100m	early3 4x	646.06	687.36	131.84	621.84	1345.62
sg-5m-100m	early3 8x	587.84	600.58	40.63	568.51	814.79
sg-5m-100m	early4 4x	643.86	659.89	65.02	601.59	1016.00
sg-5m-100m	early4 8x	579.56	601.00	92.14	561.09	1213.98
sg-5m-100m	earlyR 4x	646.08	657.21	78.05	606.22	1174.64
sg-5m-100m	earlyR 8x	584.80	614.72	103.95	562.87	1215.81
sg-5m-100m	worker 4x	645.22	663.34	77.20	611.33	1129.86
sg-5m-100m	worker 8x	587.34	613.15	55.09	567.05	804.60
sg-5m-100m	busy 4x	638.86	662.11	94.53	605.98	1144.39
sg-5m-100m	busy 8x	578.03	589.32	34.84	561.15	716.05
