dataset	approach	med	avg	stdev	min	max
sg-10k-250k	baseline	2.65	2.66	0.09	2.53	3.04
sg-10k-250k	reuse level	2.20	2.21	0.08	2.11	2.54
sg-10k-250k	sort	3.92	3.94	0.25	3.54	4.66
sg-10k-250k	inline sort	2.96	2.96	0.10	2.73	3.19
sg-10k-250k	radix sort	2.55	2.55	0.11	2.30	2.83
sg-10k-250k	lift level	2.51	2.53	0.06	2.39	2.72
sg-10k-250k	ordering	2.50	2.50	0.09	2.31	2.69
sg-10k-250k	fused	2.83	2.83	0.09	2.59	3.08
sg-10k-250k	fused if	2.78	2.79	0.08	2.61	3.02
sg-10k-250k	cuckoo	58.55	58.55	NaN	58.55	58.55
sg-10k-250k	unroll 4	2.52	2.53	0.08	2.36	2.70
sg-10k-250k	unroll 8	2.52	2.51	0.06	2.32	2.61
sg-10k-250k	unroll 8 4	2.61	2.61	0.11	2.41	2.85
sg-10k-250k	parallel	76.47	76.47	NaN	76.47	76.47
sg-10k-250k	frontier 4x	3.24	3.30	0.29	2.72	4.15
sg-10k-250k	frontier 8x	4.27	4.32	0.52	3.54	6.02
sg-10k-250k	almost 4x	4.29	4.27	0.25	3.81	4.78
sg-10k-250k	almost 8x	6.42	6.51	0.60	5.65	8.46
sg-10k-250k	marking 4x	4.43	4.49	0.37	3.73	5.26
sg-10k-250k	marking 8x	6.27	6.37	0.42	5.65	7.47
sg-10k-250k	early2 4x	4.21	4.26	0.31	3.75	5.21
sg-10k-250k	early2 8x	6.34	6.44	0.42	5.77	7.72
sg-10k-250k	early3 4x	4.12	4.16	0.27	3.58	4.71
sg-10k-250k	early3 8x	6.06	6.12	0.37	5.48	7.06
sg-10k-250k	early4 4x	4.20	4.18	0.27	3.53	4.73
sg-10k-250k	early4 8x	6.12	6.09	0.42	5.23	6.81
sg-10k-250k	earlyR 4x	4.04	4.12	0.35	3.51	5.03
sg-10k-250k	earlyR 8x	5.96	6.05	0.38	5.34	7.50
sg-10k-250k	worker 4x	4.29	4.33	0.31	3.67	5.08
sg-10k-250k	worker 8x	6.47	6.56	0.41	5.82	7.87
sg-10k-250k	busy 4x	4.30	4.32	0.34	3.63	5.47
sg-10k-250k	busy 8x	6.51	6.59	0.39	5.88	7.94
sg-5m-100m	baseline	2292.08	2298.21	66.42	2172.67	2733.01
sg-5m-100m	reuse level	5790.63	5781.76	52.85	5674.25	5912.12
sg-5m-100m	sort	2397.26	2382.99	146.90	2194.03	2917.73
sg-5m-100m	inline sort	1760.52	1767.19	33.93	1707.87	1833.79
sg-5m-100m	radix sort	1375.41	1377.78	46.64	1305.86	1601.01
sg-5m-100m	lift level	1318.27	1318.62	33.83	1259.43	1401.71
sg-5m-100m	ordering	1313.54	1313.06	37.24	1259.54	1415.92
sg-5m-100m	fused	1520.57	1522.11	49.73	1415.77	1692.73
sg-5m-100m	fused if	1419.34	1423.09	42.67	1342.20	1553.48
sg-5m-100m	cuckoo	49337.60	49337.60	NaN	49337.60	49337.60
sg-5m-100m	unroll 4	1201.32	1191.87	23.35	1158.71	1257.70
sg-5m-100m	unroll 8	1211.04	1211.79	2.68	1207.43	1218.94
sg-5m-100m	unroll 8 4	1223.86	1223.96	3.33	1218.85	1232.55
sg-5m-100m	parallel	35598.58	35598.58	NaN	35598.58	35598.58
sg-5m-100m	frontier 4x	663.02	670.77	33.36	634.22	787.92
sg-5m-100m	frontier 8x	583.23	585.94	9.59	576.72	629.63
sg-5m-100m	almost 4x	692.37	693.19	15.62	660.49	744.84
sg-5m-100m	almost 8x	617.66	625.27	21.38	603.86	705.12
sg-5m-100m	marking 4x	680.43	709.96	78.56	649.22	1100.90
sg-5m-100m	marking 8x	604.50	638.66	116.90	587.57	1362.27
sg-5m-100m	early2 4x	675.38	715.86	132.40	620.73	1328.68
sg-5m-100m	early2 8x	600.41	607.38	25.61	589.97	749.52
sg-5m-100m	early3 4x	677.22	697.80	96.65	646.31	1213.31
sg-5m-100m	early3 8x	624.44	649.59	61.98	592.56	872.67
sg-5m-100m	early4 4x	674.57	688.37	46.41	635.43	863.84
sg-5m-100m	early4 8x	609.89	629.95	51.90	594.42	791.25
sg-5m-100m	earlyR 4x	668.55	695.82	84.53	637.18	1178.71
sg-5m-100m	earlyR 8x	604.18	641.39	114.46	588.25	1245.04
sg-5m-100m	worker 4x	668.81	697.51	101.58	641.45	1213.93
sg-5m-100m	worker 8x	608.95	628.67	56.06	587.22	881.53
sg-5m-100m	busy 4x	679.17	802.85	331.88	641.79	2373.94
sg-5m-100m	busy 8x	608.87	673.40	175.88	585.64	1299.28
